Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score
19,8,11,0,0,2,6,0,102,0,0.6868687
18,15,22,0,0,6,6,102,313,1,1.291316
17,15,21,0,0,6,6,313,951,1,1.297782
16,5,7,0,0,2,6,951,990,0,0.6556517
15,3,5,0,0,1,6,990,1045,0,0.5578948
14,15,21,0,0,6,6,1045,1512,1,1.625315
13,15,18,0,0,6,6,1512,1753,1,1.814604
12,15,21,0,0,6,6,1753,1896,1,1.836523
11,15,20,0,0,6,6,1896,2206,1,1.787851
10,8,11,0,0,4,6,2206,2282,0,0.7714038
9,15,21,0,0,6,6,2282,2613,1,1.790152
8,15,21,0,0,6,6,2613,2866,1,1.824893
7,3,5,0,0,1,6,2866,2902,0,0.5815836
6,15,19,0,0,6,6,2902,3114,1,1.866522
5,15,21,0,0,6,6,3114,3559,1,1.791635
4,15,19,0,0,6,6,3559,3953,1,1.837148
3,15,19,0,0,6,6,3953,4456,1,1.824865
2,15,21,0,0,6,6,4456,4731,1,1.852171
1,8,11,0,0,3,6,4731,5632,0,0.623652182334711
0,15,20,0,0,6,6,5632,6245,1,1.82668801708033
