Iteration,Simulation #1,Simulation #2,Simulation #3
1,1.904762,1.893939,1.904762
2,1.495792,1.403053,1.427689
3,0.6972556,0.6885816,0.640123
4,1.493318,1.406028,0.5409189
5,1.732384,1.795734,1.660272
6,1.711534,1.695297,1.647813
7,1.687845,1.710039,1.804958
8,1.823365,1.76021,1.793801
9,1.817751,1.838713,1.805922
10,1.831093,0.6607918,1.868972
11,1.853855,1.516423,0.991472
12,1.841449,0.7284138,0.6652257
13,0.7041367,1.871894,0.8046632
14,1.844285,1.850324,0.7174422
15,1.882788,1.848285,1.834388
16,1.876898,1.805482,1.87176
17,1.842708,1.84401,1.802696
18,1.857565,1.861831,1.854941
19,0.9969136,1.876749,0.7043492
20,1.880559,1.834375,1.813131
